reference,pin,net,domain,description
U12,HLDO_OUT,U12_HLDO,ANALOG,AMC3330 isolated voltage amplifier
U12,INP,U12_VSENSE,ANALOG,AMC3330 isolated voltage amplifier
U12,INN,AC_RETURN,ANALOG,AMC3330 isolated voltage amplifier
U12,HGND,AC_RETURN,ANALOG,AMC3330 isolated voltage amplifier
U12,GND,AGND,ANALOG,AMC3330 isolated voltage amplifier
U12,OUTN,U12_OUTN,ANALOG,AMC3330 isolated voltage amplifier
U12,OUTP,U12_OUTP,ANALOG,AMC3330 isolated voltage amplifier
U12,VDD,3V3_A,ANALOG,AMC3330 isolated voltage amplifier
U12,LDO_OUT,U12_DCDC_LO,ANALOG,AMC3330 isolated voltage amplifier
U12,DIAG,AFE_DIAG_N,ANALOG,AMC3330 isolated voltage amplifier
U12,DCDC_GND,AGND,ANALOG,AMC3330 isolated voltage amplifier
U12,DCDC_IN,U12_DCDC_LO,ANALOG,AMC3330 isolated voltage amplifier
RU12H1,1,UTILITY_AC,ANALOG,249 kohm isolation divider upper 1
RU12H1,2,U12_DIV_MID,ANALOG,249 kohm isolation divider upper 1
RU12H2,1,U12_DIV_MID,ANALOG,249 kohm isolation divider upper 2
RU12H2,2,U12_VSENSE,ANALOG,249 kohm isolation divider upper 2
RU12L,1,U12_VSENSE,ANALOG,10.0 kohm isolation divider shunt
RU12L,2,AC_RETURN,ANALOG,10.0 kohm isolation divider shunt
CU12IN,1,U12_VSENSE,ANALOG,1 nF isolated input filter
CU12IN,2,AC_RETURN,ANALOG,1 nF isolated input filter
CU12VDD1N,1,3V3_A,ANALOG,1 nF AMC3330 bypass
CU12VDD1N,2,AGND,ANALOG,1 nF AMC3330 bypass
CU12VDD1U,1,3V3_A,ANALOG,1 uF AMC3330 bypass
CU12VDD1U,2,AGND,ANALOG,1 uF AMC3330 bypass
CU12DCL,1,U12_DCDC_LO,ANALOG,100 nF AMC3330 bypass
CU12DCL,2,AGND,ANALOG,100 nF AMC3330 bypass
CU12DCH1N,1,U12_DCDC_HI,ANALOG,1 nF AMC3330 bypass
CU12DCH1N,2,AC_RETURN,ANALOG,1 nF AMC3330 bypass
CU12DCH1U,1,U12_DCDC_HI,ANALOG,1 uF AMC3330 bypass
CU12DCH1U,2,AC_RETURN,ANALOG,1 uF AMC3330 bypass
CU12HLO1N,1,U12_HLDO,ANALOG,1 nF AMC3330 bypass
CU12HLO1N,2,AC_RETURN,ANALOG,1 nF AMC3330 bypass
CU12HLO100N,1,U12_HLDO,ANALOG,100 nF AMC3330 bypass
CU12HLO100N,2,AC_RETURN,ANALOG,100 nF AMC3330 bypass
U15,IN+,U15_NP,ANALOG,AMC3330 ADC driver
U15,IN-,U15_NN,ANALOG,AMC3330 ADC driver
U15,OUT,U15_OUT,ANALOG,AMC3330 ADC driver
U15,VS,3V3_A,ANALOG,AMC3330 ADC driver
U15,GND,AGND,ANALOG,AMC3330 ADC driver
RU15INN,1,U12_OUTN,ANALOG,20.0 kohm difference input
RU15INN,2,U15_NN,ANALOG,20.0 kohm difference input
RU15FB,1,U15_OUT,ANALOG,15.0 kohm feedback
RU15FB,2,U15_NN,ANALOG,15.0 kohm feedback
RU15INP,1,U12_OUTP,ANALOG,20.0 kohm difference input
RU15INP,2,U15_NP,ANALOG,20.0 kohm difference input
RU15REF,1,VREF165,ANALOG,15.0 kohm reference leg
RU15REF,2,U15_NP,ANALOG,15.0 kohm reference leg
RFU15,1,U15_OUT,ANALOG,1.00 kohm ADC isolation resistor
RFU15,2,ADC_UTILITY_V,ANALOG,1.00 kohm ADC isolation resistor
CFU15,1,ADC_UTILITY_V,ANALOG,4.7 nF ADC charge-bucket capacitor
CFU15,2,AGND,ANALOG,4.7 nF ADC charge-bucket capacitor
CU15,1,3V3_A,ANALOG,100 nF local bypass
CU15,2,AGND,ANALOG,100 nF local bypass
UTRIP,AFE_DIAG_N,AFE_DIAG_N,SAFETY,Analog front-end diagnostic trip input
RFTEMP,1,TEMP_RAW,ANALOG,1.00 kohm ADC isolation resistor
RFTEMP,2,ADC_TEMP,ANALOG,1.00 kohm ADC isolation resistor
CFTEMP,1,ADC_TEMP,ANALOG,4.7 nF ADC charge-bucket capacitor
CFTEMP,2,AGND,ANALOG,4.7 nF ADC charge-bucket capacitor
CU13,1,3V3_A,ANALOG,100 nF TMP235 bypass
CU13,2,AGND,ANALOG,100 nF TMP235 bypass
URS485,VCC_ISO,5V_ISO,COMMS,Isolated bus-side supply
FBA,1,3V3,ANALOG,Analog rail ferrite input
FBA,2,3V3_A,ANALOG,Filtered analog 3.3 V rail
NTAGND,1,DGND,ANALOG,Analog/digital ground net tie
NTAGND,2,AGND,ANALOG,Analog/digital ground net tie
CISO1410,1,5V_ISO,COMMS,100 nF isolated RS-485 bypass
CISO1410,2,COM_GND_ISO,COMMS,Isolated RS-485 bypass return
